texto,categoria,urgencia
"Cuando puedan, sin urgencia: Como puedo cambiar el correo asociado a mi cuenta.",información general,baja
Agradeceria una respuesta en los proximos dias. Cada vez que llamo me transfieren con alguien distinto y repito todo de nuevo.,queja,media
Me gustaria que lo revisaran esta semana si es posible. Los reportes de el plan premium tardan mas de 10 minutos en generarse.,soporte técnico,media
"Por favor atiendan esto lo antes posible, no puedo esperar mas. Se me renovo la suscripcion automaticamente y no queria renovarla.",facturación,alta
"No es una emergencia, pero me gustaria resolverlo pronto. Solicito la cancelacion de mi suscripcion y el reembolso proporcional.",facturación,media
"No es una emergencia, pero me gustaria resolverlo pronto. Necesito la factura a nombre de mi empresa, no a mi nombre personal.",facturación,media
Esto es una emergencia para mi negocio. el sistema muestra un error de certificado de seguridad al conectarse.,soporte técnico,alta
"No hay prisa alguna, solo queria dejarlo comentado: Necesito informacion sobre las tarifas para mas de 10 usuarios.",información general,baja
El servicio al cliente me trato de forma grosera en el chat de soporte.,queja,media
"Por favor atiendan esto lo antes posible, no puedo esperar mas. Es la peor experiencia que he tenido con un servicio en linea.",queja,alta
Me gustaria que lo revisaran esta semana si es posible. Que metodos de pago aceptan para la app movil.,información general,media
"Necesito una solucion ya, esto no puede esperar. Me gustaria saber si puedo pagar el servicio web en varias mensualidades.",facturación,alta
Cuantos usuarios puedo agregar en el plan basico de la app movil.,información general,media
"No hay prisa alguna, solo queria dejarlo comentado: Como contacto al equipo de ventas para una demo.",información general,baja
"Sin ninguna prisa, Necesito la factura a nombre de mi empresa, no a mi nombre personal.",facturación,baja
"No es una emergencia, pero me gustaria resolverlo pronto. Me siento estafado, pague por un servicio premium que nunca funciono bien.",queja,media
"Cuando tengan oportunidad, Estoy a punto de cancelar mi cuenta por lo mal que me han atendido.",queja,media
"Cuando tengan oportunidad, Como contacto al equipo de ventas para una demo.",información general,media
"Cuando tengan oportunidad, Solicito la cancelacion de mi suscripcion y el reembolso proporcional.",facturación,media
"No es una emergencia, pero me gustaria resolverlo pronto. Perdi acceso a mi cuenta despues de la ultima actualizacion.",soporte técnico,media
"No es una emergencia, pero me gustaria resolverlo pronto. Podrian confirmarme si el servicio esta disponible en mi pais.",información general,media
"Cuando puedan, sin urgencia: Donde puedo ver el historial completo de mis pedidos anteriores.",información general,baja
"Agradeceria una respuesta en los proximos dias. Llevo 6 dias esperando respuesta y nadie me contesta, es inaceptable.",queja,media
"Cuando puedan, sin urgencia: el panel de control consume demasiada memoria y se congela el navegador.",soporte técnico,baja
"No hay prisa alguna, solo queria dejarlo comentado: Como puedo invitar a un compañero de trabajo a mi cuenta de mi cuenta.",información general,baja
"No es una emergencia, pero me gustaria resolverlo pronto. Me prometieron una solucion en 24 horas y ya pasaron 5 dias sin novedades.",queja,media
"Necesito ayuda inmediata, esto esta afectando mi trabajo. La pantalla se queda cargando indefinidamente al abrir la plataforma.",soporte técnico,alta
Como puedo cambiar el correo asociado a mi cuenta.,información general,media
"Cuando puedan, sin urgencia: Donde puedo ver el historial completo de mis pedidos anteriores.",información general,baja
"Sin ninguna prisa, mi cuenta se cierra solo cada vez que intento subir un archivo.",soporte técnico,baja
Agradeceria una respuesta en los proximos dias. Necesito una copia de la factura del mes pasado para mi contabilidad.,facturación,media
"Sin ninguna prisa, El metodo de pago fue rechazado pero igual me generaron el cobro.",facturación,baja
"Necesito ayuda inmediata, esto esta afectando mi trabajo. El metodo de pago fue rechazado pero igual me generaron el cobro.",facturación,alta
El representante me dejo en espera mas de una hora y luego colgo la llamada.,queja,media
"Necesito una solucion ya, esto no puede esperar. El boton de exportar datos no responde en ningun navegador.",soporte técnico,alta
"Necesito ayuda inmediata, esto esta afectando mi trabajo. Me siguen cobrando mi cuenta aunque cancele el servicio hace tiempo.",facturación,alta
"No es una emergencia, pero me gustaria resolverlo pronto. Tienen alguna guia para empezar a usar la plataforma.",información general,media
Ofrecen algun periodo de prueba gratuito antes de contratar el sistema.,información general,baja
"Necesito ayuda inmediata, esto esta afectando mi trabajo. Necesito una copia de la factura del mes pasado para mi contabilidad.",facturación,alta
Me gustaria que lo revisaran esta semana si es posible. Donde puedo consultar los terminos y condiciones del servicio.,información general,media
"Necesito una solucion ya, esto no puede esperar. No puedo creer que despues de tantos correos nadie me haya dado una solucion.",queja,alta
"Me gustaria que lo revisaran esta semana si es posible. Quisiera cambiar mi ciclo de facturacion, me gustaria pagar cada semana.",facturación,media
"Es critico, necesito una respuesta hoy mismo. Me siguen cobrando el servicio web aunque cancele el servicio hace tiempo.",facturación,alta
"Por favor atiendan esto lo antes posible, no puedo esperar mas. El soporte tecnico cerro mi ticket sin resolver el problema.",queja,alta
En algun momento les agradeceria revisar esto: Donde puedo consultar los terminos y condiciones del servicio.,información general,baja
"Solo quiero comentar lo siguiente, no es urgente. Me cobraron $429 de mas en la factura de este mes y no entiendo por que.",facturación,baja
Esto es una emergencia para mi negocio. Ya escribi tres veces por este mismo tema y siempre me responden lo mismo sin ayudar.,queja,alta
En algun momento les agradeceria revisar esto: Me cobraron $423 de mas en la factura de este mes y no entiendo por que.,facturación,baja
"Cuando tengan oportunidad, En que idiomas esta disponible la interfaz de mi suscripcion.",información general,media
Esto es una emergencia para mi negocio. El servicio al cliente me trato de forma grosera en el chat de soporte.,queja,alta
Me gustaria que lo revisaran esta semana si es posible. No me llega el recibo de pago del pedido 8483 a mi correo.,facturación,media
Agradeceria una respuesta en los proximos dias. Es la peor experiencia que he tenido con un servicio en linea.,queja,media
Me gustaria saber si puedo pagar el servicio web en varias mensualidades.,facturación,media
Me gustaria que lo revisaran esta semana si es posible. Cada vez que llamo me transfieren con alguien distinto y repito todo de nuevo.,queja,media
"Solo quiero comentar lo siguiente, no es urgente. Como puedo actualizar mis datos de facturacion.",información general,baja
"Necesito ayuda inmediata, esto esta afectando mi trabajo. No puedo creer que despues de tantos correos nadie me haya dado una solucion.",queja,alta
Agradeceria una respuesta en los proximos dias. Que metodos de pago aceptan para el plan premium.,información general,media
"Cuando tengan oportunidad, Cuantos usuarios puedo agregar en el plan basico de el sistema.",información general,media
"Sin ninguna prisa, Como contacto al equipo de ventas para una demo.",información general,baja
"Necesito ayuda inmediata, esto esta afectando mi trabajo. Es la peor experiencia que he tenido con un servicio en linea.",queja,alta
"Cuando tengan oportunidad, No puedo creer que despues de tantos correos nadie me haya dado una solucion.",queja,media
"No es una emergencia, pero me gustaria resolverlo pronto. Por que el precio de el plan premium subio sin previo aviso.",facturación,media
"Cuando puedan, sin urgencia: Existe alguna app movil disponible para la plataforma.",información general,baja
Agradeceria una respuesta en los proximos dias. Perdi acceso a mi cuenta despues de la ultima actualizacion.,soporte técnico,media
Esto es una emergencia para mi negocio. Recibo el error 500 al intentar guardar los cambios en mi cuenta.,soporte técnico,alta
"Necesito ayuda inmediata, esto esta afectando mi trabajo. Voy a reportar esta empresa porque no respetan lo que ofrecen en su publicidad.",queja,alta
"Sin ninguna prisa, Como contacto al equipo de ventas para una demo.",información general,baja
"No es una emergencia, pero me gustaria resolverlo pronto. Me aparece un mensaje de error que dice 'token invalido' al entrar.",soporte técnico,media
"Sin ninguna prisa, Recibo el error 500 al intentar guardar los cambios en mi suscripcion.",soporte técnico,baja
En algun momento les agradeceria revisar esto: El buscador interno de el servicio web no encuentra resultados que si existen.,soporte técnico,baja
Me gustaria que lo revisaran esta semana si es posible. No recibo las notificaciones push en mi celular desde la actualizacion.,soporte técnico,media
"Sin ninguna prisa, El cupon de descuento que aplique no se ve reflejado en el total a pagar.",facturación,baja
Como puedo invitar a un compañero de trabajo a mi cuenta de la app movil.,información general,media
Me gustaria que lo revisaran esta semana si es posible. Como puedo actualizar mis datos de facturacion.,información general,media
"Urgente: Llevo 13 dias esperando respuesta y nadie me contesta, es inaceptable.",queja,alta
"No es una emergencia, pero me gustaria resolverlo pronto. No puedo adjuntar archivos mayores a 5 MB en la plataforma.",soporte técnico,media
Que metodos de pago aceptan para mi cuenta.,información general,media
"Sin ninguna prisa, La pantalla se queda cargando indefinidamente al abrir el panel de control.",soporte técnico,baja
"Es critico, necesito una respuesta hoy mismo. El servicio al cliente me trato de forma grosera en el chat de soporte.",queja,alta
El servicio al cliente me trato de forma grosera en el chat de soporte.,queja,media
"Solo quiero comentar lo siguiente, no es urgente. Como contacto al equipo de ventas para una demo.",información general,baja
"Cuando tengan oportunidad, Me podrian compartir el enlace a la documentacion tecnica de la API.",información general,media
"Por favor prioricen mi caso, es sumamente urgente. Cancele mi cuenta hace 15 dias y todavia me siguen cobrando.",queja,alta
"Cuando puedan, sin urgencia: Como contacto al equipo de ventas para una demo.",información general,baja
"Cuando puedan, sin urgencia: Quisiera cambiar mi ciclo de facturacion, me gustaria pagar cada semana.",facturación,baja
En algun momento les agradeceria revisar esto: el servicio web muestra un error de certificado de seguridad al conectarse.,soporte técnico,baja
"No es una emergencia, pero me gustaria resolverlo pronto. El sistema muestra datos desactualizados desde hace 12 dias.",soporte técnico,media
"Por favor prioricen mi caso, es sumamente urgente. El cupon de descuento que aplique no se ve reflejado en el total a pagar.",facturación,alta
"Es critico, necesito una respuesta hoy mismo. El cupon de descuento que aplique no se ve reflejado en el total a pagar.",facturación,alta
Esto es una emergencia para mi negocio. mi cuenta se cierra solo cada vez que intento subir un archivo.,soporte técnico,alta
En algun momento les agradeceria revisar esto: Quisiera saber si mi suscripcion es compatible con Mac y con Windows.,información general,baja
"Sin ninguna prisa, No logro restablecer mi contrasena, el enlace del correo esta roto.",soporte técnico,baja
"Sin ninguna prisa, Cuanto tiempo tarda en procesarse una solicitud de baja.",información general,baja
